process_order,exclude,manual_download,name,designation,source_id_col,source_name_col,forest_restriction,og_restriction,mine_restriction,url,bcgw_layer_name,file_in_url,layer_in_file,query,metadata_url,info_url,preprocess_operation,preprocess_args,notes,license,comments_2019
4,,,National Wildlife Areas,national_wildlife_area,parent_id,name_e,High,Medium,Medium,https://cws-scf.ca/CPCAD-BDCAPC_Dec2019.gdb.zip,,CPCAD-BDCAPC_Dec2019.gdb,CPCAD_Dec2019,loc_e='British Columbia' AND biome = 'T' AND type_e = 'National Wildlife Area',https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/protected-conserved-areas-database.html,https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/protected-conserved-areas-database.html,,,,see metadata url and contact Canadian Wildlife Service for details,"each NWA is governed by a management plan, governed by canadian wildlife act and Wildlife Area Regulation. It appears restrictions are only limited to surface not subsurface. Section 3(1e) prohibits agriculture, livestock or harvesting of natural or cultivated crop, (1k) carry out comerical industry.  https://www.ceaa.gc.ca/050/evaluations/proj/15620?culture=en-CA"
5,,,NGO Fee Simple Conservation Lands,ngo_fee_simple,conservation_areas_ngo_id,project_name,Full,Full,Full,https://catalogue.data.gov.bc.ca/dataset/ngo-conservation-areas-fee-simple,WHSE_LEGAL_ADMIN_BOUNDARIES.WCL_CONSERVATION_AREAS_NGO_SP,,,,https://catalogue.data.gov.bc.ca/dataset/ngo-conservation-areas-fee-simple,http://ltabc.ca/resources/ltabc-publications/106-bc-ngo-conservation-areas-database,,,,Open Data Commons Public Domain Dedication and License,"Managed for conservation lands purpose. Couldn�t find specifics on industry type, only vague statements about compling with conservation goals. Spoke to Danielle Feb 5th 2020,  these lands are under the same protection as private lands, as per individual titles some older titles included subsurface rights (although this is very rare), where not specified the crown owns subsurface lands. Note there are also many of these areas with overalapping designations with Parks and Protected areas. Danielle completing the 2019 update currently and will be aded to the data catalogue."
6,,,Migratory Bird Sanctuaries,migratory_bird_sanctuary,parent_id,name_e,Medium,Medium,Medium,https://cws-scf.ca/CPCAD-BDCAPC_Dec2019.gdb.zip,,CPCAD-BDCAPC_Dec2019.gdb,CPCAD_Dec2019,loc_e='British Columbia' AND biome = 'T' AND type_e = 'Migratory Bird Sanctuary',https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/protected-conserved-areas-database.html,https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/protected-conserved-areas-database.html,,,,see metadata url and contact Canadian Wildlife Service for details,Appears that the protection of MBS is limited to above ground only (existing rights are still uphelp - similar for national wildlife reserves (http://dev.naturecanada.ca/wp-content/uploads/2016/02/PUBLIC-The-Underlying-Threat-Full-length-Report-February-2012.pdf) Check if permitting on federal land ? (federal legislation - double check).
7,,,Mineral Reserve Sites,mineral_reserve,site_number_id,site_name,None,None,Full,https://catalogue.data.gov.bc.ca/dataset/mta-mineral-reserve-sites-business-view,WHSE_MINERAL_TENURE.MTA_SITE_SP,,,"MTA_SITE_ORDER_RESTR_CODE = 'N' AND MTA_SITE_REASON_CODE IN ('ECOL', 'ENVI', 'PROT', 'WLDL', 'WLDN', 'PADD', 'PARK')",https://catalogue.data.gov.bc.ca/dataset/mta-mineral-reserve-sites-business-view,http://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/mineral-exploration-mining/documents/mineral-titles/mineral-placer-titles-getting-started/forms-maps-publications/general-information/reserves.pdf,,,,Open Government License - British Columbia,O&G unknown. Limited to no registraion reserve catergory.
8,,,"Ungulate Winter Range, No Harvest",uwr_no_harvest,ungulate_winter_range_id,uwr_number,Full,Medium,None,https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_UNGULATE_WINTER_RANGE_SP,,,TIMBER_HARVEST_CODE = 'NO HARVEST ZONE',https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Check of tenure with WHA indicates XXXXXX"
9,,,"Wildlife Habitat Areas, No harvest",wha_no_harvest,habitat_area_id,tag,Full,Medium,None,https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_WILDLIFE_HABITAT_AREA_POLY,,,TIMBER_HARVEST_CODE = 'NO HARVEST ZONE' AND FEATURE_NOTES NOT LIKE '%not a legal boundary%',https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Overlay of non-expired tenures shows overlap with WHA areas (indicate not srict restriction (?)."
10,,,Biodiversity Mining and Tourism Areas,biodiv_mining_tourism_areas,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,"LEGAL_FEAT_OBJECTIVE = 'Biodiversity, Mining and Tourism Areas (BMTA)'",https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,,,,,Open Government License - British Columbia,O&G unknown. No commercial logging operations but mining activities permitted
11,,,Sea to Sky Wildland Area,wildland_area,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Sea to Sky Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Wildland Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,https://www.for.gov.bc.ca/tasb/slrp/plan79.html,,,,Open Government License - British Columbia,"Mining and Comercial timber harvest are allowed in subsections of the wildland zone (50% area), and in some other area limited by Visual quality guidelines. Oil exploration is allowed subject to FN social, cultural and environ uses."
12,,,Special Wildland RMZ in Muskwa Kechia MA,muskwa_kechika_special_wildland,non_legal_feat_id,non_legal_feat_atrb_1_value,Full,Medium,Medium,https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POLY_SVW,,,"NON_LEGAL_FEAT_ID IN (65488,65490,65491,65492,65497,65501,65508)",https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,http://www.muskwa-kechika.com/management-area/resource-management-zones,,,,Open Government License - British Columbia,
13,,,Old Growth Management Areas - Legal Current,ogma_legal,legal_ogma_internal_id,ogma_primary_reason,High,Medium,None,https://catalogue.data.gov.bc.ca/dataset/old-growth-management-areas-legal-current,WHSE_LAND_USE_PLANNING.RMP_OGMA_LEGAL_CURRENT_SVW,,,,https://catalogue.data.gov.bc.ca/dataset/old-growth-management-areas-legal-current,,,,,Open Government License - British Columbia,"Guidelines specified in section 7 of the EPM, further a letter of expectation wrtiten by FLRORD for OGAA statutory decision makers outlined the % of disturbance that can occur with in OGMAs of different sizes. See References doc specifies 10% under OGMA of less that 100ha, and 5ha or 10% for greater than 100 ha. OGMA's covered under Land Use Objectives Regulations under the Land Act (previously they were designated under forest practise code)."
14,,,VQO Preserves,vqo_preserve,vli_polygon_id,rationale,High,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_EVQO_CODE = 'P',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,Section 16 of Forest Recreation regulations specifes buisness or industry must be approved by rec. officer. Specifications under the EMPR designates rec sites as a resource feature and specifes no damage or render ineffective. Originally marked low after discusssion with Brandy but coudl be medium based on legistlation?
15,,,Designated Areas,designated_area,feature_id,designated_area_name,High,None,None,https://catalogue.data.gov.bc.ca/dataset/fadm-designated-areas,WHSE_ADMIN_BOUNDARIES.FADM_DESIGNATED_AREAS,,,RETIREMENT_DATE > '2021-08-03' OR DESIGNATED_AREA_NAME = 'Yale Area 3',https://catalogue.data.gov.bc.ca/dataset/fadm-designated-areas,http://www.bclaws.ca/civix/document/LOC/complete/statreg/--%20F%20--/Forest%20Act%20[RSBC%201996]%20c.%20157/00_Act/96157_14.xml,,,,Open Government License - British Columbia,
16,,,Flathead Watershed Area,flathead,ogc_fid,name,None,Full,Full,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/dss/GeoBC_Digital_Media/ELUC_order/FlatheadValley/Flathead_Watershed_area.zip,,Flathead_Watershed_area.shp,,,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/dss/GeoBC_Digital_Media/ELUC_order/FlatheadValley/,http://www.bclaws.ca/civix/document/id/lc/billsprevious/4th39th:gov02-1,,,,,Provisions for permits to cut and adjust the AAC included in regulation for designated areas. Covered under Forest Act
17,,,Class1 Coast Grizzly Bear Habitat (Coast LUP),great_bear_grizzly_class1,gb_class,gb_class,Medium,None,None,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules/GBRO_Schedules_20160120.gdb.zip,,GBRO_Schedules_20160120.gdb,GBRSchD_GB_20151105,GB_CLASS = 1,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules,https://www.for.gov.bc.ca/TASB/SLRP/GBR_LUO_2016.html,,,,,No oil and gas exploration and designated as coal land reserve. No mention of forest/ timber although seems to have been managed
18,,,Nlhaxten/Cayoosh Wildland Area,nlhaxten_cayoosh_wildland_area,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Lillooet Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Wildland Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,https://www.for.gov.bc.ca/tasb/LEGSREGS/frpa/frparegs/govact/orders/cascades.htm,,,,Open Government License - British Columbia,
19,,,South Chilcotin Mountains Mining and Tourism Areas,s_chilcotin_mta,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Lillooet Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Mining and Tourism Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,http://www.bclaws.ca/civix/document/id/oic/arc_oic/0453_2010,,,,Open Government License - British Columbia,
20,,,Forest Rec Sites - high,rec_site_high,forest_file_id,project_name,High,None,None,https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW,,,"PROJECT_TYPE in ('Recreation Reserve', 'Interpretative Forest') and FILE_STATUS_CODE = 'HI' and RETIREMENT_DATE IS NULL",https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,,,,,Open Government License - British Columbia,Forestry restricted by tourism and mining allowed as per lilloett land and resource management plan.
21,,,Forest Rec Sites - med,rec_site_med,forest_file_id,project_name,Medium,None,None,https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW,,,"PROJECT_TYPE in ('Recreation Site', 'Recreation Trail') and FILE_STATUS_CODE = 'HI' and RETIREMENT_DATE IS NULL",https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,,,,,Open Government License - British Columbia,Forestry restricted by tourism and mining allowed as per lilloett land and resource management plan.
22,,,VQO Retention,vqo_retain,vli_polygon_id,rationale,High,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_EVQO_CODE = 'R',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,
23,,,Special Management RMZ in Muskwa Kechika MA,muskwa_kechika_special_mgmt,non_legal_feat_id,non_legal_feat_atrb_1_value,Low,Low,Low,https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POLY_SVW,,,"NON_LEGAL_FEAT_ID IN (65244,65246,65251,65265,65274,219519,219520,219521,219522,219523,219524,219525,219526,219527,219528,219529,219530,219531,219532,219534,219535,219552,65494,65495)",https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,http://www.muskwa-kechika.com/management-area/resource-management-zones,clip,mk_boundary,,Open Government License - British Columbia,
24,,,Land Act Reserves (Section 15),land_act_reserves_15,intrid_sid,tenure_subtype,High,None,None,https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures,WHSE_TANTALIS.TA_CROWN_TENURES_SVW,,,"TENURE_STAGE = 'TENURE' AND TENURE_TYPE = 'RESERVE/NOTATION' AND TENURE_SUBTYPE = 'SEC 15 OIC RESERVE' AND TENURE_PURPOSE = 'ENVIRONMENT, CONSERVATION, & RECR' AND TENURE_SUBPURPOSE IN ('ECOLOGICAL RESERVE' , 'ENVIRONMENT PROTECTION/CONSERVATION' , 'FISH AND WILDLIFE MANAGEMENT' , 'PROTECTED AREA STRATEGY', 'WATERSHED RESERVE')",https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures,,,,,Open Government License - British Columbia,No forest harvesting but existing tenures honoured
25,,,Land Act Reserves (Section 16),land_act_reserves_16,intrid_sid,tenure_subtype,High,None,None,https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures,WHSE_TANTALIS.TA_CROWN_TENURES_SVW,,,"TENURE_STAGE = 'TENURE' AND TENURE_TYPE = 'RESERVE/NOTATION' AND TENURE_SUBTYPE = 'SEC 16 MAP RESERVE' AND TENURE_PURPOSE = 'ENVIRONMENT, CONSERVATION, & RECR' AND TENURE_SUBPURPOSE IN ('ECOLOGICAL RESERVE' , 'ENVIRONMENT PROTECTION/CONSERVATION' , 'FISH AND WILDLIFE MANAGEMENT' , 'PROTECTED AREA STRATEGY', 'WATERSHED RESERVE')",,,,,,,No forest harvesting but existing tenures honoured
26,,,Land Act Reserves (Section 17),land_act_reserves_17,intrid_sid,tenure_subtype,High,None,None,https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures,WHSE_TANTALIS.TA_CROWN_TENURES_SVW,,,"TENURE_STAGE = 'TENURE' AND TENURE_TYPE = 'RESERVE/NOTATION' AND TENURE_SUBTYPE = 'SEC 17 DESIGNATED USE AREA' AND TENURE_PURPOSE = 'ENVIRONMENT, CONSERVATION, & RECR' AND TENURE_SUBPURPOSE IN ('ECOLOGICAL RESERVE' , 'ENVIRONMENT PROTECTION/CONSERVATION' , 'FISH AND WILDLIFE MANAGEMENT' , 'PROTECTED AREA STRATEGY', 'WATERSHED RESERVE')",,,,,,,Forest harvesting permitted if compatible with stated used (low likelihood with stated uses selected in query)
27,,,Land Act Reserves (Section 66),land_act_reserves_66,intrid_sid,tenure_subtype,High,None,None,https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures,WHSE_TANTALIS.TA_CROWN_TENURES_SVW,,,"TENURE_STAGE = 'TENURE' AND TENURE_TYPE = 'RESERVE/NOTATION' AND TENURE_SUBTYPE = 'SEC 66 PROHIBITED USE AREA' AND TENURE_PURPOSE = 'ENVIRONMENT, CONSERVATION, & RECR' AND TENURE_SUBPURPOSE IN ('ECOLOGICAL RESERVE' , 'ENVIRONMENT PROTECTION/CONSERVATION' , 'FISH AND WILDLIFE MANAGEMENT' , 'PROTECTED AREA STRATEGY', 'WATERSHED RESERVE')",,,,,,,No forest harvesting but existing tenures honoured
28,,,"Ungulate Winter Range, Conditional Harvest",uwr_conditional_harvest,ungulate_winter_range_id,uwr_number,Medium,Medium,None,https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_UNGULATE_WINTER_RANGE_SP,,,TIMBER_HARVEST_CODE = 'CONDITIONAL HARVEST ZONE',https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Check of tenure with WHA indicates XXXXXX"
29,,,"Wildlife Habitat Areas, Conditional harvest",wha_conditional_harvest,habitat_area_id,tag,Medium,Medium,None,https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_WILDLIFE_HABITAT_AREA_POLY,,,TIMBER_HARVEST_CODE = 'CONDITIONAL HARVEST ZONE' AND FEATURE_NOTES NOT LIKE '%not a legal boundary%',https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Check of tenure with WHA indicates XXXXXX"
30,,,VQO Partial Retention,vqo_partretain,vli_polygon_id,rationale,Medium,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_RVQC_CODE = 'pr',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,
31,,,VQO Modify,vqo_modify,vli_polygon_id,rationale,Medium,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_RVQC_CODE = 'm',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,
32,,,Community Watersheds,community_watershed,cw_code,cw_name,Medium,Low,Low,https://catalogue.data.gov.bc.ca/dataset/community-watersheds-current,WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW,,,,https://catalogue.data.gov.bc.ca/dataset/community-watersheds-current,http://www2.gov.bc.ca/gov/content/environment/air-land-water/water/water-quality/community-watersheds,,,,Open Government License - British Columbia,Must consider and notify parties involved in O&G act when designated as comm.watershed. No restrictions listed. Listed as medium influence on internal document reviewing the incluence on NRS.
33,,,VQO Maximum Modify,vqo_maxmodify,vli_polygon_id,rationale,Low,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_EVQO_CODE = 'MM',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,
34,,,Class2 Coast Grizzly Bear Habitat,great_bear_grizzly_class2,gb_class,gb_class,Low,None,None,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules/GBRO_Schedules_20160120.gdb.zip,,GBRO_Schedules_20160120.gdb,GBRSchD_GB_20151105,GB_CLASS = 2,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules,https://www.for.gov.bc.ca/TASB/SLRP/GBR_LUO_2016.html,,,,,
35,,,Lakes South Landscape Corridor,lakes_corridors,legal_feat_id,legal_feat_atrb_1_value,Medium,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Lakes South Sustainable Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Landscape Corridors',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,,,,,Open Government License - British Columbia,"Added 2020 update, Landscape corridors specified under 2003 Lakes South sustainable RMP, for targets in forestry restrictions (https://www2.gov.bc.ca/gov/content/industry/crown-land-water/land-use-planning/regions/skeena/lakes-lrmp/lakessouth-srmp ;"
36,,,Fisheries Sensitive Watersheds,fsw,fish_sensitive_ws_poly_id,fsw_tag,Low,None,Low,https://catalogue.data.gov.bc.ca/dataset/fisheries-sensitive-watersheds,WHSE_WILDLIFE_MANAGEMENT.WCP_FISH_SENSITIVE_WS_POLY,,,,https://catalogue.data.gov.bc.ca/dataset/fisheries-sensitive-watersheds,,,,,Open Government License - British Columbia,"Some general regulations relating to wildlife act.  O&G - Under EMPR, section 6: operations are not to be located with FSW designated areas. Overlay of non-expired tenures and FSW indicated overlaps present. (indicate not srict restriction (?). http://www.env.gov.bc.ca/wld/documents/fsw/171231_FSW%20Default%20Objectives%20Designation%20Procedure.pdf"
37,,,Important Fisheries Watersheds (Great Bear Rainforest LUO),great_bear_fisheries_watersheds,ws_num,wsname,Medium,None,Medium,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules/GBRO_Schedules_20160120.gdb.zip,,GBRO_Schedules_20160120.gdb,GBRSchE_IFW_20160104,,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules,https://www.for.gov.bc.ca/TASB/SLRP/GBR_LUO_2016.html,,,,,"some restrictions on foresty extraction within the GBR (forest Management) act to specific zones, some areas classed as Biodiversity, mining and tourism zones."
38,,,GBRO Area (Great Bear Rainforest LUO EBM Areas),great_bear_ebm_area,feature_code,designated_area,Low,None,None,https://catalogue.data.gov.bc.ca/dataset/fadm-special-protection-area,WHSE_ADMIN_BOUNDARIES.FADM_SPECIAL_PROTECTION_AREA,,,PROTECTED_AREA_NAME = 'Great Bear Rainforest',https://catalogue.data.gov.bc.ca/dataset/fadm-special-protection-area,https://www.for.gov.bc.ca/TASB/SLRP/GBR_LUO_2016.html,,,,Access Only,"some restrictions on foresty extraction within the GBR (forest Management) act to specific zones, some areas classed as Biodiversity, mining and tourism zones. No mention of o&G but unlikley to occur in the area."
